"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260717","분당선","복정","2","0","20260720"
"20260717","장항선","봉명","1002","962","20260720"
"20260717","9호선2~3단계","봉은사","19919","21618","20260720"
"20260717","2호선","봉천","17852","16188","20260720"
"20260717","6호선","봉화산(서울의료원)","4998","4799","20260720"
"20260717","경인선","부개","6056","5722","20260720"
"20260717","경강선","부발","2119","2009","20260720"
"20260717","경인선","부천","28165","28308","20260720"
"20260717","서해선","부천종합운동장","1710","1531","20260720"
"20260717","경인선","부평","27715","29743","20260720"
"20260717","우이신설선","북한산보국문","4711","3939","20260720"
"20260717","우이신설선","북한산우이","3667","3753","20260720"
"20260717","6호선","불광","4251","3711","20260720"
"20260717","3호선","불광","12537","13664","20260720"
"20260717","4호선","불암산","7720","7177","20260720"
"20260717","7호선","사가정","11516","11095","20260720"
"20260717","2호선","사당","32789","36717","20260720"
"20260717","4호선","사당","22662","19180","20260720"
"20260717","경춘선","사릉","1546","1495","20260720"
"20260717","수인선","사리","3662","3049","20260720"
"20260717","9호선","사평","2800","2586","20260720"
"20260717","안산선","산본","12786","13451","20260720"
"20260717","8호선","산성","4087","4212","20260720"
"20260717","6호선","삼각지(전쟁기념관)","6254","5388","20260720"
"20260717","4호선","삼각지(전쟁기념관)","5971","7905","20260720"
"20260717","경강선","삼동","1526","1415","20260720"
"20260717","2호선","삼성(무역센터)","35677","30384","20260720"
"20260717","9호선2~3단계","삼성중앙","3383","3351","20260720"
"20260717","일산선","삼송","14562","13907","20260720"
"20260717","우이신설선","삼양","1923","1954","20260720"
"20260717","우이신설선","삼양사거리","2176","2014","20260720"
"20260717","9호선2~3단계","삼전","5934","5446","20260720"
"20260717","분당선","상갈","3691","3537","20260720"
"20260717","4호선","상계","14412","13304","20260720"
"20260717","7호선","상도","7678","6702","20260720"
"20260717","안산선","상록수","11056","11114","20260720"
"20260717","중앙선","상봉","5325","4900","20260720"
"20260717","7호선","상봉","13960","13558","20260720"
"20260717","6호선","상수","10373","11469","20260720"
"20260717","2호선","상왕십리","9820","9750","20260720"
"20260717","6호선","상월곡(한국과학기술연구원)","4206","3679","20260720"
"20260717","5호선","상일동","8791","8501","20260720"
"20260717","경춘선","상천","338","363","20260720"
"20260717","6호선","새절(신사)","8586","8098","20260720"
"20260717","9호선","샛강","3150","3102","20260720"
"20260717","신림선","샛강","1197","1498","20260720"
"20260717","경의선","서강대","1804","1654","20260720"
"20260717","5호선","서대문","6621","6428","20260720"
"20260717","경부선","서동탄","1094","1015","20260720"
"20260717","경원선","서빙고","1473","1398","20260720"
"20260717","신림선","서울대벤처타운","7605","6759","20260720"
"20260717","2호선","서울대입구(관악구청)","34860","32527","20260720"
"20260717","분당선","서울숲","8958","9250","20260720"
"20260717","1호선","서울역","63902","63610","20260720"
"20260717","4호선","서울역","7348","17822","20260720"
"20260717","공항철도 1호선","서울역","13666","13697","20260720"
"20260717","경부선","서울역","10534","3987","20260720"
"20260717","경의선","서울역","1391","1403","20260720"
"20260717","신림선","서울지방병무청","2103","2266","20260720"
"20260717","신림선","서원","2885","2504","20260720"
"20260717","경부선","서정리","8254","7252","20260720"
"20260717","2호선","서초","9324","8190","20260720"
"20260717","분당선","서현","17323","17814","20260720"
"20260717","경원선","석계","7752","8015","20260720"
"20260717","6호선","석계","6723","6622","20260720"
"20260717","경부선","석수","5650","5529","20260720"
"20260717","8호선","석촌","6737","8245","20260720"
"20260717","9호선2~3단계","석촌","7640","6860","20260720"
"20260717","9호선2~3단계","석촌고분","5487","5301","20260720"
"20260717","분당선","선릉","4628","6800","20260720"
"20260717","2호선","선릉","24404","21650","20260720"
"20260717","과천선","선바위","5074","4421","20260720"
"20260717","9호선","선유도","4329","4026","20260720"
"20260717","분당선","선정릉","2794","2645","20260720"
"20260717","9호선2~3단계","선정릉","4666","4996","20260720"
"20260717","경부선","성균관대","11045","10720","20260720"
"20260717","경강선","성남","960","975","20260720"
"20260717","2호선","성수","54496","58857","20260720"
"20260717","4호선","성신여대입구(돈암)","18414","18045","20260720"
"20260717","우이신설선","성신여대입구(돈암)","3072","3531","20260720"
"20260717","경부선","성환","3480","3116","20260720"
"20260717","경부선","세류","2741","2742","20260720"
"20260717","경부선","세마","2969","2613","20260720"
"20260717","경강선","세종대왕릉","398","427","20260720"
"20260717","수인선","소래포구","4707","4681","20260720"
"20260717","경인선","소사","5891","5436","20260720"
"20260717","경원선","소요산","2922","2909","20260720"
"20260717","우이신설선","솔밭공원","1963","1919","20260720"
"20260717","우이신설선","솔샘","3688","3312","20260720"
"20260717","경인선","송내","16457","16121","20260720"
"20260717","수인선","송도","1956","1831","20260720"
"20260717","5호선","송정","4613","4620","20260720"
"20260717","경부선","송탄","4370","4162","20260720"
"20260717","8호선","송파","6588","6382","20260720"
